    0.00000000e+00    -2.13024965e+01     3.95756501e-01
    4.79000000e-02    -3.57338443e+01     3.36141926e-01
    1.15100000e-01    -4.60126141e+01     2.48677525e-01
    2.06300000e-01    -5.25057442e+01     2.23494458e-01
    3.16100000e-01    -5.61248298e+01     1.91829160e-01
    4.37400000e-01    -6.06773870e+01     2.55179446e-01
    5.62600000e-01    -5.98791629e+01     2.68214400e-01
    6.83900000e-01    -6.17849306e+01     2.01449946e-01
    7.93700000e-01    -6.22420893e+01     4.05176403e-01
    8.85000000e-01    -6.96610075e+01     6.38502533e-01
    9.52100000e-01    -7.55950520e+01     6.35321966e-01
    1.00000000e+00    -8.68642618e+01     6.70432955e-01
