    0.00000000e+00    -2.08810932e+01     4.02694787e-01
    4.79000000e-02    -3.56910307e+01     3.23075254e-01
    1.15100000e-01    -4.54842602e+01     2.54675231e-01
    2.06300000e-01    -5.33924456e+01     2.39082462e-01
    3.16100000e-01    -5.63066697e+01     1.98943471e-01
    4.37400000e-01    -5.85554049e+01     1.89972670e-01
    5.62600000e-01    -6.08063321e+01     5.08641969e-01
    6.83900000e-01    -6.20021193e+01     2.25475002e-01
    7.93700000e-01    -6.26540446e+01     3.93369545e-01
    8.85000000e-01    -6.70139641e+01     5.14962484e-01
    9.52100000e-01    -7.57409864e+01     8.81201703e-01
    1.00000000e+00    -8.79529544e+01     4.60612107e-01
