    0.00000000e+00    -4.31660216e+01     1.88097331e+00
    4.79000000e-02    -4.75879409e+01     5.30061170e-01
    1.15100000e-01    -5.26140747e+01     4.66630451e-01
    2.06300000e-01    -5.41997666e+01     2.29160015e-01
    3.16100000e-01    -5.59618804e+01     2.75151723e-01
    4.37400000e-01    -5.87882664e+01     2.58861228e-01
    5.62600000e-01    -5.48480155e+01     2.73667830e-01
    6.83900000e-01    -5.28517525e+01     2.20735737e-01
    7.93700000e-01    -5.33531618e+01     9.07083753e-01
    8.85000000e-01    -6.10750819e+01     6.15373195e-01
    9.52100000e-01    -6.92157984e+01     1.23182320e+00
    1.00000000e+00    -7.33719418e+01     9.31569255e-01
